date dd-mm-yyyy,sleep hours ,deep sleep  ,light sleep ,awake ,REM 
19-12-2021,7h2m,01h43m,05h19m,00h51m,
20-12-2021,7h23m,01h18m,06h05m,00h39m,
21-12-2021,8h24m,01h51m,04h37m,00h04m,01h56m
22-12-2021,7h35m,,,,
23-12-2021,6h41m,01h23m,3h21m,00h00m,01h57m
24-12-2021,5h04m,01h12m,02h24m,00h04m,01h28m
25-12-2021,6h35m,01h14m,03h11m,00h00m,02h10m
26-12-2021,9h36m,02h08m,04h57m,00h29m,02h31m
27-12-2021,7h26m,01h28m,05h08m,00h44m,00h50m
28-12-2021,7h07m,01h02m,04h27m,00h16m,02h07m
29-12-2021,6h40m,01h59m,03h50m,00h16m,00h513
30-12-2021,7h21m,01h03m,03h34m,01h07m,02h44m
31-12-2021,5h50m,01h22m,02h47m,00h00m,01h41m
01-01-2022,8h07m,01h53m,04h22m,00h17m,01h52m
02-01-2022,6h42m,01h48m,03h27m,00h00m,01h27m
03-01-2022,7h13m,01h55m,03h09m,00h04m,02h09m
04-01-2022,7h03m,01h34m,03h52m,00h00m,01h37m
05-01-2022,7h06m,01h44m,04h00m,00h00m,01h22m
06-01-2022,7h29m,02h20m,02h45m,00h00m,02h24m
07-01-2022,6h50m,02h02m,03h51m,00h00m,00h57m
08-01-2022,6h24m,01h31m,03h16m,00h48m,01h37m
09-01-2022,6h39m,01h33m,04h16m,00h10m,00h50m
10-01-2022,6h20m,02h34m,02h38m,00h00m,01h08m
11-01-2022,7h36m,02h03m,04h10m,00h00m,01h23m
12-01-2022,7h31m,01h43m,04h19m,00h00m,01h29m
13-01-2022,8h18m,01h58m,03h55m,00h00m,02h25m
14-01-2022,6h29m,01h42m,02h52m,00h05m,01h55m
15-01-2022,05h18m,01h01m,02h57m,00h00m,01h20m
16-01-2022,06h40m,01h19m,04h20m,00h00m,01h01m
17-01-2022,05h19m,01h07m,03h08m,00h00m,01h04m
20-01-2022,06h29m,01h22m,03h34m,00h00m,01h33m
21-01-2022,06h33m,01h37m,03h44m,00h28m,01h12m
22-01-2022,06h27m,01h30m,03h26m,00h00m,01h31m
23-01-2022,05h43m,00h37m,03h09m,00h29m,01h57m
24-01-2022,06h31m,01h07m,03h33m,01h01m,01h51m
25-01-2022,07h23m,01h49m,04h04m,00h00m,01h30m
26-01-2022,08h07m,02h41m,03h17m,00h00m,02h09m
27-01-2022,07h36m,02h12m,03h50m,00h01m,01h34m
28-01-2022,05h27m,01h08m,02h41m,00h00m,01h38m
29-01-2022,05h26m,01h44m,02h29m,00h00m,01h13m
30-01-2022,06h57m,01h56m,03h30m,00h00m,01h31m
31-01-2022,06h21m,02h00m,02h38m,00h00m,01h43m
01-02-2022,07h17m,01h36m,03h57m,00h00m,01h44m
02-02-2022,07h25m,01h53m,04h09m,00h04m,01h23m
03-02-2022,06h37m,01h22m,03h26m,00h00m,01h49m
04-02-2022,05h30m,01h10m,02h47m,00h00m,01h33m
05-02-2022,07h14m,01h20m,03h52m,00h12m,02h02m
07-02-2022,06h55m,01h49m,03h33m,00h00m,01h39m
08-02-2022,06h27m,01h14m,03h29m,00h00m,01h44m
09-02-2022,06h10m,01h35m,03h09m,00h00m,01h26m
10-02-2022,07h22m,01h17m,04h07m,00h00m,01h58m
11-02-2022,08h12m,01h19m,04h45m,00h06m,02h08m
12-02-2022,07h38m,01h25m,03h50m,00h00m,02h23m
13-02-2022,04h50m,01h09m,03h00m,00h28m,00h41m
