date dd-mm-yyyy,duration hh:mm:ss,calories kcal,avgspeed kmph,avghr bpm,aerobic m,anaerobic m,fatburn m,warmup m
17-12-2021,0:38:29,312,3.99,126,2,0,9,24
18-12-2021,0:15:02,117,4.21,123,0,0,0,13
19-12-2021,0:40:48,386,4.42,140,1,0,33,5
20-12-2021,0:25:37,344,4.7,168,2,15,2,3
21-12-2021,0:38:24,356,4.69,138,0,0,28,7
22-12-2021,0:26:17,281,4.58,150,2,4,18,0
23-12-2021,0:26:07,194,4.61,120,0,0,2,19
24-12-2021,0:38:17,418,4.71,151,6,5,22,3
28-12-2021,0:33:39,284,3.84,131,5,0,13,5
29-12-2021,0:42:21,407,3.53,140,11,0,17,7
31-12-2021,0:34:54,386,3.7,152,24,0,7,1
01-01-2022,0:45:49,499,3.95,150,20,2,13,6
02-01-2022,0:50:00,500,3.69,144,13,0,26,6
03-01-2022,0:27:41,270,4.34,143,5,0,19,1
04-01-2022,0:30:29,383,4.26,163,27,0,0,0
05-01-2022,0:30:18,282,4.36,138,5,0,9,14
06-01-2022,0:32:24,270,4.26,129,0,0,12,18
07-01-2022,0:27:39,262,4.38,140,2,0,17,8
08-01-2022,0:28:40,358,4.2,162,26,0,0,0
09-01-2022,0:45:30,269,3.97,109,0,0,1,15
10-01-2022,0:27:39,229,4.37,129,0,0,11,15
11-01-2022,0:33:39,297,4.29,135,1,0,20,10
12-01-2022,0:34:52,295,4.48,133,0,0,23,10
13-01-2022,0:27:54,246,4.35,135,0,0,20,5
16-01-2022,0:41:39,280,3.61,114,31,0,0,0
17-01-2022,0:32:26,289,4.25,133,7,0,7,16
19-01-2022,0:53:52,379,3.5,117,1,0,5,29
20-01-2022,0:34:43,248,3.7,118,0,0,5,17
21-01-2022,0:46:17,293,3.9,111,0,0,0,26
22-01-2022,0:35:39,241,3.7,115,0,0,0,24
24-01-2022,0:28:48,226,4.51,124,0,0,6,19
25-01-2022,0:28:41,262,4.23,124,0,0,23,5
26-01-2022,0:22:28,138,2.69,110,0,0,0,12
28-01-2022,0:15:12,98,4,113,0,0,0,8
29-01-2022,0:20:46,124,3.8,109,0,0,0,9
31-01-2022,0:32:27,261,4.25,123,0,0,0,31
01-02-2022,0:28:26,226,4.24,124,0,0,1,25
02-02-2022,0:28:34,257,4.22,134,4,0,6,17
03-02-2022,0:28:25,248,4.24,132,4,0,7,14
04-02-2022,0:39:19,329,4.2,129,3,0,9,21
05-02-2022,1:02:20,396,3.87,111,0,0,0,31
06-02-2022,1:14:12,473,4.05,112,0,0,0,43
07-02-2022,0:31:57,207,3.78,112,0,0,0,19
08-02-2022,0:15:27,101,3.98,113,0,0,0,11
10-02-2022,0:13:35,109,4.44,126,0,0,2,9
14-02-2022,0:30:18,225,4.44,119,0,0,0,28
