"date","duration","calories","avgspeed","avghr","aerobic","anaerobic","fatburn","warmup"
"2021-12-17",21,272,5.71,166,11,6,0,0
"2021-12-18",10,125,5.95,162,6,2,0,0
"2021-12-19",10,120,6.17,161,6,1,0,0
"2021-12-20",31,414,5.72,167,19,9,1,0
"2021-12-21",20,249,6.01,162,10,5,0,0
"2021-12-22",30,413,5.98,171,11,16,0,0
"2021-12-23",49,608,6.17,162,43,0,4,0
"2021-12-24",98,1278,6.11,166,94,0,1,1
"2021-12-27",102,1454,5.86,174,35,63,2,0
"2021-12-28",10,131,6.27,172,3,5,0,0
"2021-12-29",95,1250,6.34,168,91,0,1,0
"2022-01-03",26,326,5.79,163,22,0,1,0
"2022-01-04",30,345,6.1,156,25,0,3,0
"2022-01-05",29,367,6.29,165,26,0,0,0
"2022-01-06",30,388,6.34,166,26,1,0,0
"2022-01-07",50,603,6.06,160,44,0,1,1
"2022-01-08",29,342,6.18,156,25,0,1,1
"2022-01-09",58,719,6.18,161,47,1,4,2
"2022-01-10",28,306,6.38,150,16,0,9,1
"2022-01-11",29,342,6.22,157,26,0,0,0
"2022-01-12",10,115,6.11,157,8,0,0,0
"2022-01-13",48,552,6.22,168,33,0,13,0
"2022-01-16",98,1241,6.12,163,93,0,2,1
"2022-01-17",15,153,6.08,147,0,0,14,0
"2022-01-23",63,778,5.96,161,56,0,2,1
"2022-01-25",49,588,6.16,159,42,0,4,1
"2022-01-31",97,1224,6.18,163,86,0,5,3
"2022-02-02",60,703,5.96,156,45,0,10,2
"2022-02-04",99,1245,6.08,163,97,0,0,0
"2022-02-06",110,1359,6.02,162,104,0,3,0
"2022-02-07",19,230,6.3,159,11,1,3,0
"2022-02-08",19,218,6.27,153,11,1,2,1
"2022-02-09",10,110,6.33,156,8,0,0,0
"2022-02-10",10,118,6.3,162,8,0,0,0
"2022-02-11",96,1187,6.25,161,90,0,3,0
"2022-02-13",115,1373,6.25,158,94,0,16,1
